Date,Temp
1985-01-01,13.3
1985-01-02,15.2
1985-01-03,13.1
1985-01-04,12.7
1985-01-05,14.6
1985-01-06,11.0
1985-01-07,13.2
1985-01-08,12.2
1985-01-09,14.4
1985-01-10,13.7
1985-01-11,14.5
1985-01-12,14.1
1985-01-13,14.4
1985-01-14,19.7
1985-01-15,16.5
1985-01-16,15.9
1985-01-17,11.8
1985-01-18,12.0
1985-01-19,11.4
1985-01-20,14.4
1985-01-21,12.4
1985-01-22,15.1
1985-01-23,15.6
1985-01-24,15.2
1985-01-25,12.8
1985-01-26,13.3
1985-01-27,17.5
1985-01-28,15.4
1985-01-29,13.5
1985-01-30,16.7
1985-01-31,15.2
1985-02-01,14.9
1985-02-02,10.2
1985-02-03,13.6
1985-02-04,19.0
1985-02-05,15.7
1985-02-06,18.0
1985-02-07,14.8
1985-02-08,13.9
1985-02-09,13.0
1985-02-10,15.3
1985-02-11,14.3
1985-02-12,15.6
1985-02-13,16.0
1985-02-14,14.9
1985-02-15,11.1
1985-02-16,14.8
1985-02-17,13.0
1985-02-18,12.2
1985-02-19,10.9
1985-02-20,14.6
1985-02-21,16.6
1985-02-22,18.1
1985-02-23,13.4
1985-02-24,10.3
1985-02-25,13.6
1985-02-26,13.8
1985-02-27,10.3
1985-02-28,11.0
1985-03-01,14.3
1985-03-02,15.5
1985-03-03,14.7
1985-03-04,12.7
1985-03-05,10.7
1985-03-06,12.6
1985-03-07,9.8
1985-03-08,13.2
1985-03-09,15.2
1985-03-10,16.6
1985-03-11,21.0
1985-03-12,22.4
1985-03-13,17.0
1985-03-14,21.7
1985-03-15,21.4
1985-03-16,18.6
1985-03-17,16.2
1985-03-18,16.8
1985-03-19,17.0
1985-03-20,18.4
1985-03-21,17.2
1985-03-22,18.4
1985-03-23,18.8
1985-03-24,16.5
1985-03-25,13.3
1985-03-26,12.2
1985-03-27,11.3
1985-03-28,13.8
1985-03-29,16.6
1985-03-30,14.0
1985-03-31,14.3
1985-04-01,16.4
1985-04-02,11.9
1985-04-03,15.7
1985-04-04,17.6
1985-04-05,17.5
1985-04-06,15.9
1985-04-07,16.2
1985-04-08,16.0
1985-04-09,15.9
1985-04-10,16.2
1985-04-11,16.2
1985-04-12,19.5
1985-04-13,18.2
1985-04-14,21.8
1985-04-15,15.1
1985-04-16,11.0
1985-04-17,8.1
1985-04-18,9.5
1985-04-19,9.3
1985-04-20,10.6
1985-04-21,6.3
1985-04-22,8.6
1985-04-23,6.8
1985-04-24,8.7
1985-04-25,8.4
1985-04-26,9.3
1985-04-27,10.0
1985-04-28,10.5
1985-04-29,12.0
1985-04-30,10.1
1985-05-01,9.4
1985-05-02,10.1
1985-05-03,8.0
1985-05-04,10.6
1985-05-05,13.6
1985-05-06,15.4
1985-05-07,9.0
1985-05-08,10.4
1985-05-09,11.0
1985-05-10,12.1
1985-05-11,13.4
1985-05-12,11.3
1985-05-13,6.7
1985-05-14,9.8
1985-05-15,10.8
1985-05-16,7.8
1985-05-17,4.5
1985-05-18,7.6
1985-05-19,6.9
1985-05-20,7.5
1985-05-21,8.5
1985-05-22,5.5
1985-05-23,9.5
1985-05-24,7.3
1985-05-25,5.4
1985-05-26,5.5
1985-05-27,8.1
1985-05-28,11.2
1985-05-29,13.4
1985-05-30,11.6
1985-05-31,10.1
1985-06-01,4.3
1985-06-02,5.5
1985-06-03,4.4
1985-06-04,5.9
1985-06-05,5.7
1985-06-06,8.2
1985-06-07,8.2
1985-06-08,4.2
1985-06-09,6.5
1985-06-10,10.0
1985-06-11,8.8
1985-06-12,6.6
1985-06-13,7.8
1985-06-14,10.1
1985-06-15,7.1
1985-06-16,7.7
1985-06-17,8.5
1985-06-18,7.3
1985-06-19,6.9
1985-06-20,8.4
1985-06-21,7.1
1985-06-22,6.3
1985-06-23,0.6
1985-06-24,1.6
1985-06-25,7.0
1985-06-26,8.3
1985-06-27,8.0
1985-06-28,10.2
1985-06-29,10.6
1985-06-30,10.4
1985-07-01,11.6
1985-07-02,11.0
1985-07-03,10.7
1985-07-04,7.3
1985-07-05,4.2
1985-07-06,4.7
1985-07-07,5.6
1985-07-08,7.7
1985-07-09,7.5
1985-07-10,4.9
1985-07-11,5.9
1985-07-12,7.8
1985-07-13,5.8
1985-07-14,7.0
1985-07-15,8.4
1985-07-16,6.2
1985-07-17,7.5
1985-07-18,4.8
1985-07-19,3.3
1985-07-20,3.2
1985-07-21,7.0
1985-07-22,8.4
1985-07-23,0.3
1985-07-24,0.3
1985-07-25,2.1
1985-07-26,8.5
1985-07-27,1.4
1985-07-28,4.1
1985-07-29,10.3
1985-07-30,6.6
1985-07-31,6.1
1985-08-01,7.0
1985-08-02,5.1
1985-08-03,6.3
1985-08-04,6.9
1985-08-05,11.4
1985-08-06,10.4
1985-08-07,10.3
1985-08-08,9.2
1985-08-09,7.2
1985-08-10,7.5
1985-08-11,4.0
1985-08-12,5.6
1985-08-13,6.7
1985-08-14,8.4
1985-08-15,11.0
1985-08-16,8.4
1985-08-17,8.8
1985-08-18,8.6
1985-08-19,8.3
1985-08-20,4.0
1985-08-21,3.6
1985-08-22,5.7
1985-08-23,10.6
1985-08-24,6.9
1985-08-25,10.0
1985-08-26,9.8
1985-08-27,7.2
1985-08-28,10.5
1985-08-29,3.6
1985-08-30,5.3
1985-08-31,8.4
1985-09-01,10.3
1985-09-02,7.9
1985-09-03,8.5
1985-09-04,7.9
1985-09-05,8.0
1985-09-06,9.8
1985-09-07,6.7
1985-09-08,4.8
1985-09-09,9.9
1985-09-10,12.8
1985-09-11,10.9
1985-09-12,11.7
1985-09-13,11.7
1985-09-14,11.0
1985-09-15,8.2
1985-09-16,7.5
1985-09-17,5.4
1985-09-18,7.2
1985-09-19,9.7
1985-09-20,8.4
1985-09-21,9.0
1985-09-22,8.7
1985-09-23,6.6
1985-09-24,11.6
1985-09-25,13.1
1985-09-26,6.7
1985-09-27,6.5
1985-09-28,7.7
1985-09-29,8.7
1985-09-30,7.2
1985-10-01,10.5
1985-10-02,8.6
1985-10-03,7.2
1985-10-04,11.4
1985-10-05,16.2
1985-10-06,6.1
1985-10-07,9.6
1985-10-08,11.1
1985-10-09,13.6
1985-10-10,10.7
1985-10-11,14.7
1985-10-12,11.6
1985-10-13,7.3
1985-10-14,8.0
1985-10-15,9.6
1985-10-16,16.0
1985-10-17,15.1
1985-10-18,12.8
1985-10-19,6.2
1985-10-20,7.1
1985-10-21,8.4
1985-10-22,10.0
1985-10-23,12.7
1985-10-24,10.0
1985-10-25,10.2
1985-10-26,6.5
1985-10-27,9.2
1985-10-28,11.9
1985-10-29,14.7
1985-10-30,11.4
1985-10-31,6.8
1985-11-01,7.4
1985-11-02,11.2
1985-11-03,9.2
1985-11-04,12.6
1985-11-05,16.0
1985-11-06,17.1
1985-11-07,15.3
1985-11-08,13.3
1985-11-09,15.4
1985-11-10,13.2
1985-11-11,14.4
1985-11-12,14.0
1985-11-13,15.5
1985-11-14,21.0
1985-11-15,10.0
1985-11-16,9.6
1985-11-17,12.0
1985-11-18,12.2
1985-11-19,11.3
1985-11-20,13.2
1985-11-21,10.5
1985-11-22,10.1
1985-11-23,8.8
1985-11-24,13.7
